fecha_ingreso,destino_provincia,destino_localidad,cantidad_certificados,cantidad_personas
2020-12-01,Buenos Aires,Adolfo Gonzáles Chaves,1,2
2020-12-01,Buenos Aires,Aguas Verdes,5,18
2020-12-01,Buenos Aires,Alberti,0,
2020-12-01,Buenos Aires,Almirante Brown,0,
2020-12-01,Buenos Aires,ARRECIFES,1,2
2020-12-01,Buenos Aires,Arroyo Pareja,0,
2020-12-01,Buenos Aires,Ayacucho,0,
2020-12-01,Buenos Aires,Azul,0,
2020-12-01,Buenos Aires,Bahía Blanca,5,8
2020-12-01,Buenos Aires,Bahía San Blas,0,
2020-12-01,Buenos Aires,Balcarce,0,
2020-12-01,Buenos Aires,Balneario La Chiquita,0,
2020-12-01,Buenos Aires,Baradero,0,
2020-12-01,Buenos Aires,Benito Juárez,0,
2020-12-01,Buenos Aires,Bolívar,0,
2020-12-01,Buenos Aires,Bragado,0,
2020-12-01,Buenos Aires,Brandsen,0,
2020-12-01,Buenos Aires,Campana,0,
2020-12-01,Buenos Aires,Cañuelas,0,
2020-12-01,Buenos Aires,Capilla del Señor,0,
2020-12-01,Buenos Aires,Capitán Sarmiento,0,
2020-12-01,Buenos Aires,Carhué,1,1
2020-12-01,Buenos Aires,Cariló,37,91
2020-12-01,Buenos Aires,Carlos Casares,0,
2020-12-01,Buenos Aires,Carlos Keen,0,
2020-12-01,Buenos Aires,Carmen de Areco,0,
2020-12-01,Buenos Aires,Carmen de Patagones,0,
2020-12-01,Buenos Aires,Centinela del mar,0,
2020-12-01,Buenos Aires,Chapadmalal,6,8
2020-12-01,Buenos Aires,Chascomús,20,48
2020-12-01,Buenos Aires,Claromecó,9,26
2020-12-01,Buenos Aires,Copetonas,0,
2020-12-01,Buenos Aires,Coronel Dorrego,3,7
2020-12-01,Buenos Aires,Coronel Pringles,0,
2020-12-01,Buenos Aires,Coronel Rosales,10,18
2020-12-01,Buenos Aires,Coronel Suárez,0,
2020-12-01,Buenos Aires,Costa Azul,4,11
2020-12-01,Buenos Aires,Costa Chica,1,2
2020-12-01,Buenos Aires,Costa del Este,34,90
2020-12-01,Buenos Aires,Costa Esmeralda,7,20
2020-12-01,Buenos Aires,Cura Malal,0,
2020-12-01,Buenos Aires,Dolores,0,
2020-12-01,Buenos Aires,Ensenada,0,
2020-12-01,Buenos Aires,Escobar,0,
2020-12-01,Buenos Aires,Esteban Echeverría,0,
2020-12-01,Buenos Aires,Exaltación de la Cruz,8,10
2020-12-01,Buenos Aires,Florencio Varela,0,
2020-12-01,Buenos Aires,Florentino Ameghino,0,
2020-12-01,Buenos Aires,Fortín Mercedes,0,
2020-12-01,Buenos Aires,General Alvarado,0,
2020-12-01,Buenos Aires,General Alvear,0,
2020-12-01,Buenos Aires,General Belgrano,0,
2020-12-01,Buenos Aires,General La Madrid,0,
2020-12-01,Buenos Aires,General las Heras,0,
2020-12-01,Buenos Aires,General Lavalle,0,
2020-12-01,Buenos Aires,General Madariaga,0,
2020-12-01,Buenos Aires,General Paz,0,
2020-12-01,Buenos Aires,General Pueyrredón,0,
2020-12-01,Buenos Aires,General Rodríguez,0,
2020-12-01,Buenos Aires,General Viamonte,0,
2020-12-01,Buenos Aires,General Villegas,1,5
2020-12-01,Buenos Aires,Guamini,0,
2020-12-01,Buenos Aires,Henderson,0,
2020-12-01,Buenos Aires,Hipólito Yrigoyen,0,
2020-12-01,Buenos Aires,Huanguelen,0,
2020-12-01,Buenos Aires,J. A. Pradere,0,
2020-12-01,Buenos Aires,José B. Casas,0,
2020-12-01,Buenos Aires,Junín,1,2
2020-12-01,Buenos Aires,Lago Parque La Salada,0,
2020-12-01,Buenos Aires,La Plata,0,
2020-12-01,Buenos Aires,Laprida,0,
2020-12-01,Buenos Aires,Las Flores,0,
2020-12-01,Buenos Aires,Las Gaviotas,18,44
2020-12-01,Buenos Aires,Las Toninas,17,42
2020-12-01,Buenos Aires,Lezama,0,
2020-12-01,Buenos Aires,Lincoln,0,
2020-12-01,Buenos Aires,Lobería,0,
2020-12-01,Buenos Aires,Lobos,1,3
2020-12-01,Buenos Aires,Loma Verde,0,
2020-12-01,Buenos Aires,Los Pocitos,0,
2020-12-01,Buenos Aires,Los Toldos,0,
2020-12-01,Buenos Aires,Lucila del Mar,8,15
2020-12-01,Buenos Aires,Lujan,0,
2020-12-01,Buenos Aires,Magdalena,0,
2020-12-01,Buenos Aires,Mar Azul,16,32
2020-12-01,Buenos Aires,Mar Chiquita,0,
2020-12-01,Buenos Aires,Marcos Paz,0,
2020-12-01,Buenos Aires,Mar de Ajó,38,76
2020-12-01,Buenos Aires,Mar de Cobo,0,
2020-12-01,Buenos Aires,Mar de las Pampas,41,105
2020-12-01,Buenos Aires,Mar del Plata,225,430
2020-12-01,Buenos Aires,Mar del Sud,0,
2020-12-01,Buenos Aires,Mar del Tuyú,36,77
2020-12-01,Buenos Aires,Marisol,0,
2020-12-01,Buenos Aires,Mechongué,0,
2020-12-01,Buenos Aires,Mercedes,0,
2020-12-01,Buenos Aires,Miramar,0,
2020-12-01,Buenos Aires,Monte,0,
2020-12-01,Buenos Aires,Monte Hermoso,0,
2020-12-01,Buenos Aires,Necochea,13,23
2020-12-01,Buenos Aires,Nueva Atlantis,16,39
2020-12-01,Buenos Aires,Olavarría,1,1
2020-12-01,Buenos Aires,Orense,2,7
2020-12-01,Buenos Aires,Ostende,3,6
2020-12-01,Buenos Aires,Otamendi,0,
2020-12-01,Buenos Aires,Pedro Luro,0,
2020-12-01,Buenos Aires,Pehuen Co,0,
2020-12-01,Buenos Aires,Pellegrini,0,
